URLs;Identifies;Mode_de_decouverte;Plateformes
http://carnets-haijin.blogspot.com/;oui;methodologie;blogspot
http://carolefives.free.fr/?cat=5;oui;methodologie;
http://carolezalberg.com/;oui;methodologie;
http://cathygarcia.hautetfort.com/  ;oui;autre;hautetfort
http://chemindeveil.canalblog.com/;oui;methodologie;canalblog
http://cheminsdesagesse.over-blog.com/;oui;methodologie;over-blog
http://chevalfou.over-blog.net/;oui;methodologie;over-blog
http://christianeloubier.com/;oui;methodologie;
http://christiane-ranieri.fr/;oui;methodologie;
http://christiane-ranieri.fr/sites/default/files/LALETTRE41d%C3%A9cembre2015.pdf;oui;methodologie;pdf
http://christiane-ranieri.fr/sites/default/files/LALETTRE54Mars2019.pdf;oui;methodologie;pdf
http://christianmistral.com/index.html;oui;repertoire_des_ecritures_num;
http://christinejeanney.net/;oui;methodologie;
http://chroniques-d-un-newbie.fr/?p=5015;oui;methodologie;
http://chroniquesitaliennes.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://claudeartes.fr/Artes/;oui;methodologie;
http://claudioetlucie.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://clicnet.swarthmore.edu/litterature/moderne/poesie/duhaime.html;oui;methodologie;
http://clise.canalblog.com/;oui;methodologie;canalblog
http://cluster015.ovh.net/~talipo/;oui;methodologie;
http://coeficiencenet.typepad.com/contrejour/;oui;repertoire_des_ecritures_num;typepad
http://coincidencespoetiques.fr/;oui;methodologie;
http://coincidencespoetiques.fr/2019/06/25/valerie-canat-de-chizy/;oui;methodologie;
http://colissuspect.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://coralieberhault.over-blog.com/;oui;methodologie;over-blog
http://corinne.pluchart.over-blog.com/;oui;autre;over-blog
http://cottetemard.hautetfort.com/;oui;autre;hautetfort
http://couleurjapon.e-monsite.com/;oui;methodologie;e-monsite
http://courttoujours.hautetfort.com/;oui;methodologie;hautetfort
http://crayons.eklablog.com/;oui;methodologie;eklablog
http://cyclepoetique.over-blog.com/;oui;methodologie;over-blog
http://danielcanty.com/;oui;repertoire_des_ecritures_num;
http://daniel-leduc.blogspot.com/�;oui;cartoweb_JP;blogspot
http://dansesdetravers.blogspot.com/;oui;autre;blogspot
http://darius.hyperion.over-blog.com/;oui;methodologie;over-blog
http://data.over-blog-kiwi.com/0/99/13/77/20140429/ob_78d7d6_l-ampoule-n-7.pdf;oui;methodologie;pdf
http://data.over-blog-kiwi.com/1/23/33/99/20170531/ob_d95466_de-l-humain-pour-les-migrants-2-0.pdf;oui;methodologie;pdf
http://dcccvii.blogspot.com/;oui;autre;blogspot
http://deboitements.net/;oui;methodologie;
http://deboitements.net/spip.php?article59;oui;methodologie;spip
http://dedans-dehors.ca/;oui;repertoire_des_ecritures_num;
http://delitdecriture.canalblog.com/;oui;methodologie;canalblog
http://delitdepoesie.hautetfort.com/;oui;methodologie;hautetfort
http://denisheudre.free.fr/;oui;autre;
http://denispeiron.blogspot.com/;oui;autre;blogspot
http://desir-obscur.livejournal.com/;oui;repertoire_des_ecritures_num;
http://d-fiction.fr/;oui;methodologie;
http://dfshaiku.blogspot.ch;oui;methodologie;blogspot
http://dheudre.over-blog.com/;oui;autre;over-blog
http://diagonaledusens.blogspot.com/;oui;methodologie;blogspot
http://docplayer.fr/31815430-Revue-francophone-de-haiku-juillet-septembre-2013-n-40.html;oui;methodologie;docplayer
http://doctorak-go.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://doczz.fr/doc/38514/gong-39---association-francophone-de-ha%C3%AFku;oui;methodologie;doczz
http://domcorrieras.fr/dotclear/;oui;repertoire_des_ecritures_num;
http://domi33.blogs.sudouest.fr/;oui;methodologie;
http://dominiqueblondeaumapagelitteraire.blogspot.com/;oui;methodologie;blogspot
http://dominique-boudou.blogspot.com/;oui;methodologie;blogspot
http://dominiqueboudou.e-monsite.com/;oui;methodologie;e-monsite
http://dominiquechipot.fr/;oui;methodologie;
http://dreamlands-virtual-tour.blogspot.com/;oui;methodologie;blogspot
http://dreamlands-virtual-tour.blogspot.fr/;oui;repertoire_des_ecritures_num;blogspot
http://dresseurs-de-pierres.over-blog.com/;oui;methodologie;over-blog
http://dryade-intersiderale.blogspot.com/;oui;methodologie;blogspot
http://duplombdanslaile.canalblog.com/;oui;methodologie;canalblog
http://edcaveri.over-blog.com/;oui;methodologie;over-blog
http://edelweissblog.simplesite.com/;oui;methodologie;simplesite
http://emmila.canalblog.com/;oui;methodologie;canalblog
http://encrebleunuit.blogspot.com/;oui;methodologie;blogspot
http://enna-saplum.overblog.com/;oui;cartoweb_JP;
