Id,Label,timeset,authority,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Hub,modularity_class,clustering
sebastianjroche,sebastianjroche,,false,2,0,2,2,0,2,0,0,0,0,0,42,0
AsmaMehnana,AsmaMehnana,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
RCapucon,RCapucon,,false,2,0,2,2,0,2,0,0,0,0,0,14,0
AffejeeH,AffejeeH,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
30millionsdamis,30millionsdamis,,false,2,0,2,4,0,4,0,0,0,0,0,20,0
Mediavenir,Mediavenir,,false,2,0,2,2,0,2,0,0,0,0,0,23,0
Moukmouk11,Moukmouk11,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Bis_repetaJack,Bis_repetaJack,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
damien_leblanc,damien_leblanc,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
MFB44,MFB44,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Francois_Ruffin,Francois_Ruffin,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
VorAvel,VorAvel,,false,2,0,2,2,0,2,0,0,0,0,0,4,0
CRE_SciencesPo,CRE_SciencesPo,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Mp97440,Mp97440,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
pat_laffreuse,pat_laffreuse,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
davduf,davduf,,false,4,0,4,7,0,7,0,0,0,0,0,30,0.083333
corpsecrits,corpsecrits,,true,14,44,58,105,55,160,9,0.193036,0.23703,16063.691703,0,4,0.032145
Stalec_,Stalec_,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Invaderay,Invaderay,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
franceinter,franceinter,,false,3,0,3,4,0,4,0,0,0,0,0,2,0.166667
FredSochard,FredSochard,,false,2,0,2,2,0,2,0,0,0,0,0,22,0
duval27110,duval27110,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
jpmignard,jpmignard,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Portes_Thomas,Portes_Thomas,,false,2,0,2,2,0,2,0,0,0,0,0,42,0
phil_lombard,phil_lombard,,false,2,0,2,2,0,2,0,0,0,0,0,12,0
Poulin2012,Poulin2012,,false,1,0,1,2,0,2,0,0,0,0,0,14,0
chantal63,chantal63,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
MartinFrdric7,MartinFrdric7,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
ConconLouison,ConconLouison,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
fondril,fondril,,false,2,0,2,2,0,2,0,0,0,0,0,12,0
sirius1936,sirius1936,,false,8,0,8,8,0,8,0,0,0,0,0,13,0.053571
azocarjosephine,azocarjosephine,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
renald_prevost,renald_prevost,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
L_M_Vin,L_M_Vin,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
BenMonville,BenMonville,,false,2,0,2,2,0,2,0,0,0,0,0,12,0
AlexTaylorNews,AlexTaylorNews,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
MonseurM,MonseurM,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Chouny111,Chouny111,,false,16,0,16,47,0,47,0,0,0,0,0,14,0.079167
mollusque75,mollusque75,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
francoisedegois,francoisedegois,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
20320Vero,20320Vero,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
KDJ_SKK,KDJ_SKK,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
S_francois1,S_francois1,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
lerman_alix,lerman_alix,,true,3,64,67,6,187,193,9,0.249669,0.307647,3170.518651,0,14,0.016783
Alabandine_,Alabandine_,,false,2,0,2,3,0,3,0,0,0,0,0,2,0
CrepeyLaurent,CrepeyLaurent,,false,3,0,3,3,0,3,0,0,0,0,0,7,0.166667
AniSWISSarts,AniSWISSarts,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
RtEnPassant,RtEnPassant,,false,1,0,1,2,0,2,0,0,0,0,0,14,0
laudemarsss,laudemarsss,,false,6,0,6,12,0,12,0,0,0,0,0,4,0.1
casirni,casirni,,false,2,0,2,2,0,2,0,0,0,0,0,14,0
SamTheDrecker,SamTheDrecker,,false,1,0,1,2,0,2,0,0,0,0,0,14,0
maisonpoesie1,maisonpoesie1,,false,3,0,3,3,0,3,0,0,0,0,0,8,0.166667
fraveris,fraveris,,false,2,0,2,2,0,2,0,0,0,0,0,7,0
MuseeLouvre,MuseeLouvre,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
oct1064,oct1064,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
Dunkelbunt9,Dunkelbunt9,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
holdengraber,holdengraber,,false,3,0,3,3,0,3,0,0,0,0,0,14,0.333333
_mrs_saeki_,_mrs_saeki_,,false,10,0,10,18,0,18,0,0,0,0,0,4,0.022222
Jopolkadot,Jopolkadot,,false,1,0,1,2,0,2,0,0,0,0,0,14,0
GrimardC,GrimardC,,false,6,0,6,20,0,20,0,0,0,0,0,30,0.166667
MaraRiv2,MaraRiv2,,false,4,0,4,5,0,5,0,0,0,0,0,2,0
o_elixir,o_elixir,,false,8,0,8,22,0,22,0,0,0,0,0,4,0.089286
_Natalene_,_Natalene_,,false,3,0,3,5,0,5,0,0,0,0,0,14,0.166667
MenschOhneMusil,MenschOhneMusil,,false,3,0,3,16,0,16,0,0,0,0,0,2,0
vigourtcat,vigourtcat,,false,4,0,4,11,0,11,0,0,0,0,0,14,0.083333
csermet2,csermet2,,false,2,0,2,2,0,2,0,0,0,0,0,14,0.5
