Source	Target	Weight
R2NChateau	Giu_Fabiana	1
R2NChateau	amaliacarros	1
R2NChateau	AnikaFrancina	1
R2NChateau	BrandonTriminio	1
R2NChateau	sunset731	1
PrinceMots14	PrinceMots14	16
PrinceMots14	photographer678	1
PrinceMots14	DanniSr8	1
PrinceMots14	Brindille_	2
PrinceMots14	Zenon8703	1
PrinceMots14	HenriSaladin	1
PrinceMots14	AndreeBaril	1
EricDubois	Mimaxsata	1
EricDubois	ChanPerco	2
EricDubois	lesnulsfr	1
EricDubois	maisondagoit	2
EricDubois	FrsMarcotte	1
EricDubois	30millionsdamis	1
EricDubois	Limportant_fr	1
EricDubois	mxcote	3
EricDubois	SGDLAuteurs	1
EricDubois	edgarmorinparis	1
EricDubois	sergeJONCOUR	1
EricDubois	ngruszkiewicz	5
EricDubois	Bettyxx84	1
EricDubois	BleueEvelyne	9
EricDubois	dhasselmann	3
EricDubois	Petit__Rien	3
EricDubois	editionsPOL	1
EricDubois	MatthiasVinceno	2
EricDubois	RockNRollPics	1
EricDubois	Europe1	2
EricDubois	TF1LeJT	1
EricDubois	le_Parisien	2
EricDubois	Inafr_officiel	1
EricDubois	puremedias	1
EricDubois	Fils2Psy	1
EricDubois	LabVince	1
EricDubois	NikiShey	1
EricDubois	pandovstrochnis	1
EricDubois	albanmoyaux	1
EricDubois	KaneSmis	1
EricDubois	JacquesBonnaffe	1
EricDubois	LaLangelliere	1
EricDubois	BibliObs	3
EricDubois	srongier	1
EricDubois	ParisAMDParis	6
EricDubois	sebhugo	1
EricDubois	renaudpila	1
EricDubois	DanniSr8	7
EricDubois	franceculture	6
EricDubois	f_lebel	1
EricDubois	BFMTV	3
EricDubois	MCDragne	1
EricDubois	Daniel_Red_Eire	1
EricDubois	Alabandine_	1
EricDubois	vincentmonad	1
EricDubois	ericallard4	1
EricDubois	Samanthabailly	1
EricDubois	ClCharpentier	1
EricDubois	schmidtiglesias	1
EricDubois	edTableRonde	1
EricDubois	MauxPourMots	1
EricDubois	ericmarty55	1
EricDubois	pierrelescure	2
EricDubois	LeHuffPost	1
EricDubois	tbarnaud	1
EricDubois	lilyinthewind10	1
EricDubois	FigaroPlume	1
EricDubois	foise_cosson	2
EricDubois	EricNaulleau	1
EricDubois	morandiniblog	1
EricDubois	YDENISDELAPORTE	1
EricDubois	wouachna	1
